,model,library,MSE,MAE,MAPE
0,baseline,Keras,46363.15625,140.3988037109375,14.131410598754883
1,baseline,Sklearn,46363.15476190476,140.39880952380952,0.13083412121924728
2,DenseLinear,Keras,31946.6640625,119.19775390625,12.908838272094727
3,DenseLinear,Sklearn,33084.54296875,119.19775390625,0.1290883719921112
4,LSTMw1,Keras,52562.0859375,191.1885986328125,18.243364334106445
5,LSTMw1,Sklearn,53968.01171875,191.1885986328125,0.18243363499641418
6,LSTMw2,Keras,70575.2578125,209.27066040039062,19.211261749267578
7,LSTMw2,Sklearn,68336.390625,209.27066040039062,0.19211262464523315
8,LSTMw3,Keras,56177.90234375,176.13375854492188,17.236791610717773
9,LSTMw3,Sklearn,55677.0625,176.13375854492188,0.17236793041229248
10,LSTMw7,Keras,45535.23828125,146.78660583496094,15.376859664916992
11,LSTMw7,Sklearn,45662.4375,146.7865753173828,0.15376858413219452
12,LSTMw14,Keras,43443.734375,153.64263916015625,15.8140869140625
13,LSTMw14,Sklearn,45379.8984375,153.64263916015625,0.1581408828496933
14,LSTMw28,Keras,37460.5390625,130.06578063964844,14.30065631866455
15,LSTMw28,Sklearn,37526.44140625,130.0657958984375,0.1430065631866455
