TARGET,ALPHA,L1 RATIO,R2,MAE,MSE
flights_total,0.0021,0.9,0.917,60.23,7841.9
flights_cancel,0.2352,0.6,0.816,31.606,4516.6
flights_delay,0.0282,0.1,0.371,91.29,22536.5
flights_ontime,0.0122,0.9,0.673,121.274,33447.6
flights_arr_ontime,0.0122,0.9,0.68,60.48,8527.8
flights_arr_delay,0.0343,0.1,0.325,46.894,6008.8
flights_arr_cancel,0.4,0.8,0.831,14.607,1020.9
flights_dep_ontime,0.0142,0.9,0.655,63.192,8650.0
flights_dep_delay,0.0302,0.1,0.413,47.03,5637.5
flights_dep_cancel,0.1247,0.1,0.786,17.073,1342.2
flights_cancel_pct,0.1287,0.4,0.806,2.001,18.6
flights_delay_pct,0.0503,0.3,0.278,5.077,77.6
flights_ontime_pct,0.0523,0.1,0.592,5.897,97.3
flights_arr_delay_pct,0.1187,0.9,0.235,5.301,83.9
flights_arr_ontime_pct,0.0604,0.3,0.563,6.05,102.5
flights_arr_cancel_pct,0.1247,0.5,0.811,1.905,17.8
flights_dep_delay_pct,0.0523,0.1,0.31,5.269,78.1
flights_dep_ontime_pct,0.0523,0.1,0.61,6.094,97.9
flights_dep_cancel_pct,0.1388,0.4,0.787,2.129,21.2
